branch,sl,tp,pf,wr,total_pnl
along,30,10,2.8020833333333335,0.604494382022472,1730
along,30,15,3.234375,0.4651685393258427,2145
along,30,20,3.5416666666666665,0.38202247191011235,2440
along,30,25,3.4895833333333335,0.30112359550561796,2390
along,30,30,3.1875,0.2292134831460674,2100
along,30,39,2.6,0.14382022471910114,1536
along,30,45,0.046875,0.0022471910112359553,-915
along,30,50,0.052083333333333336,0.0022471910112359553,-910
along,30,60,0.0,0.0,-960
along,30,75,0.0,0.0,-960
along,30,100,0.0,0.0,-960
along,40,10,23.083333333333332,0.6224719101123596,2650
along,40,15,26.5,0.4764044943820225,3060
along,40,20,28.833333333333332,0.3887640449438202,3340
along,40,25,28.333333333333332,0.3056179775280899,3280
along,40,30,25.75,0.23146067415730337,2970
along,40,39,20.8,0.14382022471910114,2376
along,40,45,0.375,0.0022471910112359553,-75
along,40,50,0.4166666666666667,0.0022471910112359553,-70
along,40,60,0.0,0.0,-120
along,40,75,0.0,0.0,-120
